"","season","team","Clutch_Shots_Attempted","Clutch_Shots_Made","Clutch_FG_Percentage"
"165",2019,"Southern",1,1,100
"166",2019,"Texas State",2,2,100
"167",2019,"Towson",2,2,100
"168",2019,"Utah Valley",2,2,100
"169",2019,"Western Illinois",1,1,100
"170",2019,"Western Kentucky",1,1,100
"171",2020,"Central Baptist College",1,1,100
"172",2020,"LSU Shreveport",1,1,100
"173",2020,"Mount Olive",2,2,100
"174",2020,"St. Martins",1,1,100
"175",2020,"Providence",7,6,85.7
"176",2018,"Belmont",6,5,83.3
"177",2017,"Ball State",4,3,75
"178",2017,"Butler",4,3,75
"179",2017,"Hawai'i",4,3,75
"180",2017,"Idaho State",4,3,75
"181",2018,"Fordham",8,6,75
"182",2019,"Mississippi State",4,3,75
"183",2019,"South Alabama",8,6,75
"184",2017,"Utah State",7,5,71.4
"185",2016,"Delaware",3,2,66.7
"186",2016,"Florida State",3,2,66.7
"187",2016,"Idaho",3,2,66.7
"188",2016,"Idaho State",3,2,66.7
"189",2016,"Marquette",6,4,66.7
"190",2016,"Radford",3,2,66.7
"191",2016,"SMU",3,2,66.7
"192",2016,"San Francisco",6,4,66.7
"193",2016,"Texas",3,2,66.7
"194",2016,"Texas Southern",3,2,66.7
"195",2016,"UNLV",3,2,66.7
"196",2016,"Weber State",3,2,66.7
"197",2017,"American University",3,2,66.7
"198",2017,"Buffalo",3,2,66.7
"199",2017,"Marist",3,2,66.7
"200",2017,"Mercer",6,4,66.7
"201",2017,"Milwaukee",3,2,66.7
"202",2017,"New Hampshire",3,2,66.7
"203",2017,"Old Dominion",3,2,66.7
"204",2017,"Southern Illinois",3,2,66.7
"205",2017,"Western Kentucky",3,2,66.7
"206",2018,"Idaho",3,2,66.7
"207",2018,"Mercer",3,2,66.7
"208",2018,"Portland State",3,2,66.7
"209",2019,"BYU",3,2,66.7
"210",2019,"Middle Tennessee",3,2,66.7
"211",2019,"Sacramento State",3,2,66.7
"212",2020,"Clemson",9,6,66.7
"213",2020,"Presbyterian",6,4,66.7
"214",2020,"Tulsa",15,10,66.7
"215",2018,"TCU",11,7,63.6
"216",2018,"Northwestern",8,5,62.5
"217",2020,"Arkansas State",8,5,62.5
"218",2020,"Jackson State",8,5,62.5
"219",2020,"Cal State Northridge",13,8,61.5
"220",2016,"Belmont",5,3,60
"221",2016,"Campbell",5,3,60
"222",2016,"Central Michigan",5,3,60
"223",2016,"James Madison",5,3,60
"224",2017,"Mississippi State",10,6,60
"225",2017,"Morehead State",5,3,60
"226",2017,"North Carolina",10,6,60
"227",2017,"Southern Miss",5,3,60
"228",2017,"Texas Tech",5,3,60
"229",2018,"Eastern Michigan",5,3,60
"230",2018,"Miami",10,6,60
"231",2018,"Stanford",5,3,60
"232",2019,"Missouri State",10,6,60
"233",2020,"Brown",10,6,60
"234",2018,"Texas A&M",22,13,59.1
"235",2019,"West Virginia",12,7,58.3
"236",2016,"Green Bay",7,4,57.1
"237",2016,"Minnesota",28,16,57.1
"238",2016,"Saint Mary's",7,4,57.1
"239",2017,"Weber State",7,4,57.1
"240",2018,"Drake",7,4,57.1
"241",2020,"Morehead State",14,8,57.1
"242",2020,"South Dakota",7,4,57.1
"243",2017,"Missouri",16,9,56.2
"244",2017,"Rutgers",16,9,56.2
"245",2020,"Houston Christian",16,9,56.2
"246",2020,"Middle Tennessee",16,9,56.2
"247",2016,"Akron",9,5,55.6
"248",2017,"James Madison",9,5,55.6
"249",2017,"Memphis",9,5,55.6
"250",2018,"Alabama",27,15,55.6
"251",2016,"Nebraska",11,6,54.5
"252",2020,"Canisius",11,6,54.5
"253",2019,"Arkansas",24,13,54.2
"254",2019,"Pepperdine",13,7,53.8
"255",2017,"Penn State",15,8,53.3
"256",2017,"Virginia Tech",15,8,53.3
"257",2020,"Michigan State",15,8,53.3
"258",2020,"Appalachian State",17,9,52.9
"259",2020,"Rider",17,9,52.9
"260",2020,"Utah",19,10,52.6
"261",2016,"Austin Peay",2,1,50
"262",2016,"Cal State Bakersfield",2,1,50
"263",2016,"Kansas City",2,1,50
"264",2016,"Long Beach State",2,1,50
"265",2016,"Maryland",4,2,50
"266",2016,"New Hampshire",6,3,50
"267",2016,"New Mexico State",2,1,50
"268",2016,"Niagara",2,1,50
"269",2016,"Northern Kentucky",4,2,50
"270",2016,"Northwestern State",2,1,50
"271",2016,"Quinnipiac",2,1,50
"272",2016,"Seton Hall",4,2,50
"273",2016,"Southern Illinois",6,3,50
"274",2016,"St. John's",4,2,50
"275",2016,"Toledo",4,2,50
"276",2016,"UC Santa Barbara",2,1,50
"277",2016,"Valparaiso",2,1,50
"278",2016,"Wisconsin",18,9,50
"279",2017,"Abilene Christian",2,1,50
"280",2017,"Baylor",4,2,50
"281",2017,"Belmont",6,3,50
"282",2017,"Boise State",10,5,50
"283",2017,"Brown",6,3,50
"284",2017,"DePaul",6,3,50
"285",2017,"Eastern Kentucky",2,1,50
"286",2017,"Evansville",2,1,50
"287",2017,"Georgetown",2,1,50
"288",2017,"Hartford",2,1,50
"289",2017,"Holy Cross",2,1,50
"290",2017,"Houston",2,1,50
"291",2017,"Lamar",4,2,50
"292",2017,"Little Rock",2,1,50
"293",2017,"Louisiana",4,2,50
"294",2017,"Louisiana Tech",10,5,50
"295",2017,"Minnesota",10,5,50
"296",2017,"NJIT",2,1,50
"297",2017,"New Mexico",2,1,50
"298",2017,"Niagara",4,2,50
"299",2017,"Sacred Heart",2,1,50
"300",2017,"South Carolina",2,1,50
"301",2017,"South Dakota State",8,4,50
"302",2017,"St. Francis (PA)",2,1,50
"303",2017,"TCU",10,5,50
"304",2017,"UT Martin",2,1,50
"305",2017,"Utah Valley",4,2,50
"306",2017,"VCU",4,2,50
"307",2017,"Western Michigan",6,3,50
"308",2017,"Wyoming",6,3,50
"309",2018,"American University",2,1,50
"310",2018,"Arkansas State",2,1,50
"311",2018,"Army",6,3,50
"312",2018,"BYU",2,1,50
"313",2018,"Boston College",10,5,50
"314",2018,"Central Arkansas",2,1,50
"315",2018,"Colorado",14,7,50
"316",2018,"Colorado State",4,2,50
"317",2018,"Dayton",4,2,50
"318",2018,"George Mason",6,3,50
"319",2018,"Hawai'i",2,1,50
"320",2018,"Illinois",6,3,50
"321",2018,"Illinois State",4,2,50
"322",2018,"James Madison",2,1,50
"323",2018,"Loyola Maryland",2,1,50
"324",2018,"Montana State",4,2,50
"325",2018,"New Mexico",4,2,50
"326",2018,"North Carolina A&T",4,2,50
"327",2018,"Northern Iowa",4,2,50
"328",2018,"Pennsylvania",4,2,50
"329",2018,"Prairie View A&M",4,2,50
"330",2018,"San Francisco",2,1,50
"331",2018,"South Florida",6,3,50
"332",2018,"Southern",6,3,50
"333",2018,"Texas Tech",4,2,50
"334",2018,"UIC",2,1,50
"335",2018,"UT Martin",8,4,50
"336",2018,"UTEP",2,1,50
"337",2018,"Virginia Tech",20,10,50
"338",2018,"Western Kentucky",10,5,50
"339",2019,"American University",2,1,50
"340",2019,"Appalachian State",2,1,50
"341",2019,"Cal State Northridge",2,1,50
"342",2019,"Central Michigan",8,4,50
"343",2019,"Creighton",2,1,50
"344",2019,"Eastern Michigan",4,2,50
"345",2019,"Gardner-Webb",2,1,50
"346",2019,"Holy Cross",2,1,50
"347",2019,"Illinois",24,12,50
"348",2019,"Lamar",2,1,50
"349",2019,"Louisville",4,2,50
"350",2019,"Milwaukee",4,2,50
"351",2019,"Mount St. Mary's",4,2,50
"352",2019,"Northern Colorado",12,6,50
"353",2019,"Notre Dame",8,4,50
"354",2019,"Oklahoma",8,4,50
"355",2019,"Oklahoma State",6,3,50
"356",2019,"Oregon",10,5,50
"357",2019,"Saint Joseph's",6,3,50
"358",2019,"Seton Hall",2,1,50
"359",2019,"Stony Brook",2,1,50
"360",2019,"Troy",2,1,50
"361",2019,"UNC Asheville",2,1,50
"362",2019,"UNLV",2,1,50
"363",2019,"UTEP",2,1,50
"364",2019,"Western Michigan",4,2,50
"365",2019,"Wright State",2,1,50
"366",2020,"Baylor",4,2,50
"367",2020,"Boston College",6,3,50
"368",2020,"Bowling Green",26,13,50
"369",2020,"Central Washington",2,1,50
"370",2020,"East Tennessee State",12,6,50
"371",2020,"Elon",18,9,50
"372",2020,"Grambling",16,8,50
"373",2020,"Iowa",14,7,50
"374",2020,"Jacksonville",24,12,50
"375",2020,"Kansas",12,6,50
"376",2020,"Maryland",6,3,50
"377",2020,"Maryland-Eastern Shore",10,5,50
"378",2020,"Mid-America Christian",2,1,50
"379",2020,"Monmouth",16,8,50
"380",2020,"Murray State",8,4,50
"381",2020,"Northern Kentucky",20,10,50
"382",2020,"Oklahoma",26,13,50
"383",2020,"Oregon",2,1,50
"384",2020,"Princeton",2,1,50
"385",2020,"Seattle U",18,9,50
"386",2020,"St. Francis (PA)",18,9,50
"387",2020,"Stanford",18,9,50
"388",2020,"Tennessee State",6,3,50
"389",2020,"Valparaiso",8,4,50
"390",2020,"Villanova",30,15,50
"391",2020,"Virginia",14,7,50
"392",2020,"Western Illinois",4,2,50
"393",2020,"Air Force",25,12,48
"394",2019,"North Carolina",23,11,47.8
"395",2020,"Utah State",23,11,47.8
"396",2020,"Mount St. Mary's",21,10,47.6
"397",2020,"Toledo",21,10,47.6
"398",2020,"New Hampshire",19,9,47.4
"399",2020,"Oral Roberts",17,8,47.1
"400",2020,"South Alabama",17,8,47.1
"401",2020,"UMass Lowell",17,8,47.1
"402",2020,"Northern Illinois",32,15,46.9
"403",2018,"LSU",15,7,46.7
"404",2020,"Northwestern",15,7,46.7
"405",2016,"Texas A&M",26,12,46.2
"406",2020,"Hawai'i",13,6,46.2
"407",2020,"NJIT",13,6,46.2
"408",2020,"South Florida",13,6,46.2
"409",2020,"TCU",13,6,46.2
"410",2020,"UC Irvine",13,6,46.2
"411",2019,"Arizona State",24,11,45.8
"412",2020,"Ball State",24,11,45.8
